Name,Industry,Type,Phone,Website,BillingCity,BillingCountry,NumberOfEmployees,AnnualRevenue,Description,ParentId,id,Engagement_Model__c,Primary_Offering__c,Region__c,Customer_Segment__c,SaaS_Tier__c,Services_Line__c,Parent_Relationship_Type__c
Rodriguez-Mckenzie Data Cloud,Technology,Customer,579-950-0166,https://mcgee.com/,Lake Susanton,Singapore,2450,99535752,APAC SME/Enterprise; SaaS-only customer (observability and/or governance).,,1,SaaS Only,SaaS,APAC,SME,Enterprise,None,Standalone
"Cooley, Jensen and Knox Data Cloud",Technology,Customer,241-569-3483x53636,http://gay.com/,South Crystal,Indonesia,2824,48349897,APAC SME/Enterprise; SaaS-only customer (observability and/or governance).,,2,SaaS Only,SaaS,APAC,SME,Team,None,Standalone
Sampson-Rasmussen Data Cloud,Technology,Customer,(379)522-3508x49913,https://www.valdez.net/,South Jacquelineborough,Malaysia,1638,61500752,APAC SME/Enterprise; SaaS-only customer (observability and/or governance).,,3,SaaS Only,SaaS,APAC,SME,Enterprise,None,Standalone
"Gray, Rogers and Rivers Data Cloud",Telecommunications,Customer,+1-588-877-3816x1575,https://www.willis.com/,New Johnny,Philippines,2269,66326016,APAC SME/Enterprise; SaaS-only customer (observability and/or governance).,,4,SaaS Only,SaaS,APAC,SME,Team,None,Standalone
Whitney Group Data Cloud,Healthcare,Customer,5684335099,https://www.whitney.info/,Port Erinbury,Singapore,2102,22959523,APAC SME/Enterprise; SaaS-only customer (observability and/or governance).,,5,SaaS Only,SaaS,APAC,SME,Business,None,Standalone
Daniel-Bolton Data Cloud,Healthcare,Customer,001-872-680-9130,https://murphy.com/,Lake Frances,Singapore,452,21662758,APAC SME/Enterprise; SaaS-only customer (observability and/or governance).,,6,SaaS Only,SaaS,APAC,SME,Business,None,Standalone
"Sampson, Cooke and Cain Data Cloud",Retail,Customer,833-785-1002,https://tyler-villanueva.com/,Everettburgh,Philippines,343,64660586,APAC SME/Enterprise; SaaS-only customer (observability and/or governance).,,7,SaaS Only,SaaS,APAC,SME,Business,None,Standalone
Wong Ltd Data Cloud,Retail,Customer,+1-309-580-8352,https://www.gay.biz/,Lake Roy,Thailand,1716,116483359,APAC SME/Enterprise; SaaS-only customer (observability and/or governance).,,8,SaaS Only,SaaS,APAC,SME,Team,None,Standalone
Parrish-Bartlett Data Cloud,Finance,Customer,8544451436,https://www.price-wyatt.com/,Jerryton,Malaysia,627,63765519,APAC SME/Enterprise; SaaS-only customer (observability and/or governance).,,9,SaaS Only,SaaS,APAC,SME,Business,None,Standalone
Baxter-Mcbride Data Cloud,Manufacturing,Customer,001-692-851-9959x5464,https://www.simpson.com/,New Caseystad,Philippines,2738,75458491,APAC SME/Enterprise; SaaS-only customer (observability and/or governance).,,10,SaaS Only,SaaS,APAC,SME,Team,None,Standalone
Compton Group Data Cloud,Telecommunications,Customer,655.687.8946,https://www.fuentes.com/,Robynberg,Philippines,408,46718217,APAC SME/Enterprise; SaaS-only customer (observability and/or governance).,,11,SaaS Only,SaaS,APAC,SME,Enterprise,None,Standalone
Gill-Archer Data Cloud,Manufacturing,Customer,235-449-2035,https://www.singleton-cross.com/,East Allen,Indonesia,2137,42663771,APAC SME/Enterprise; SaaS-only customer (observability and/or governance).,,12,SaaS Only,SaaS,APAC,SME,Business,None,Standalone
"Beasley, Chung and Lamb Data Cloud",Healthcare,Customer,+1-922-472-7560x1250,http://pitts.com/,Coryburgh,Malaysia,1477,39003114,APAC SME/Enterprise; SaaS-only customer (observability and/or governance).,,13,SaaS Only,SaaS,APAC,SME,Business,None,Standalone
"Savage, Weiss and Duffy Data Cloud",Technology,Customer,224-566-5804x0678,http://hale-dickson.org/,Port Dylanburgh,Vietnam,2909,35110008,APAC SME/Enterprise; SaaS-only customer (observability and/or governance).,,14,SaaS Only,SaaS,APAC,SME,Business,None,Standalone
Henderson Group Data Cloud,Retail,Customer,(995)504-8931x0176,https://www.shepard.com/,Jermainefort,Malaysia,1339,54428564,APAC SME/Enterprise; SaaS-only customer (observability and/or governance).,,15,SaaS Only,SaaS,APAC,SME,Team,None,Standalone
Todd Inc Data Cloud,Retail,Customer,(471)559-6356,https://fernandez-lucas.org/,North Jerome,Singapore,1481,101608450,APAC SME/Enterprise; SaaS-only customer (observability and/or governance).,,16,SaaS Only,SaaS,APAC,SME,Business,None,Standalone
Harmon PLC Data Cloud,Finance,Customer,+1-440-288-3694,http://morse.org/,North Sarah,Singapore,275,39456874,APAC SME/Enterprise; SaaS-only customer (observability and/or governance).,,17,SaaS Only,SaaS,APAC,SME,Enterprise,None,Standalone
Clayton-Dillon Data Cloud,Healthcare,Customer,582-214-2269,https://www.parker-rivera.com/,Jerryville,Singapore,665,42226345,APAC SME/Enterprise; SaaS-only customer (observability and/or governance).,,18,SaaS Only,SaaS,APAC,SME,Team,None,Standalone
"Baxter, Hardin and Snow Data Cloud",Telecommunications,Customer,236.531.7879,https://www.bridges.com/,Marioton,Indonesia,585,76607506,APAC SME/Enterprise; SaaS-only customer (observability and/or governance).,,19,SaaS Only,SaaS,APAC,SME,Business,None,Standalone
"Mann, Armstrong and Barajas Data Cloud",Telecommunications,Customer,609-765-1068x234,https://mcguire.com/,Charlesfurt,Vietnam,233,83313294,APAC SME/Enterprise; SaaS-only customer (observability and/or governance).,,20,SaaS Only,SaaS,APAC,SME,Business,None,Standalone
"Pollard, Chaney and Atkinson Data Cloud",Technology,Customer,001-507-368-0546x18036,https://www.walter.com/,West Joanland,Singapore,1262,80946717,APAC SME/Enterprise; SaaS-only customer (observability and/or governance).,,21,SaaS Only,SaaS,APAC,SME,Team,None,Standalone
"Vargas, Mcneil and Mcpherson Data Cloud",Manufacturing,Customer,(588)725-8321,http://www.dennis-bell.com/,Mcintyreburgh,Indonesia,1827,69469425,APAC SME/Enterprise; SaaS-only customer (observability and/or governance).,,22,SaaS Only,SaaS,APAC,SME,Business,None,Standalone
"Fitzgerald, Lynn and Lynn Data Cloud",Healthcare,Customer,236-478-9669x650,http://www.khan.com/,Birdside,Vietnam,576,114719595,APAC SME/Enterprise; SaaS-only customer (observability and/or governance).,,23,SaaS Only,SaaS,APAC,SME,Team,None,Standalone
Benjamin Inc Data Cloud,Manufacturing,Customer,294-965-7524,http://www.rollins.com/,East Rubenhaven,Vietnam,1283,64019386,APAC SME/Enterprise; SaaS-only customer (observability and/or governance).,,24,SaaS Only,SaaS,APAC,SME,Business,None,Standalone
"Koch, Cook and Quinn Data Cloud",Manufacturing,Customer,527.571.8598,http://berger.com/,Nortonbury,Vietnam,2715,50855490,APAC SME/Enterprise; SaaS-only customer (observability and/or governance).,,25,SaaS Only,SaaS,APAC,SME,Business,None,Standalone
"Cowan, Waters and Robinson Data Cloud",Technology,Customer,761-261-7787,https://www.nelson.net/,Nicolefurt,Indonesia,2182,92832798,APAC SME/Enterprise; SaaS-only customer (observability and/or governance).,,26,SaaS Only,SaaS,APAC,SME,Free,None,Standalone
Paul-Dunlap Data Cloud,Manufacturing,Customer,687-770-0574x805,https://hays-hudson.com/,North Sabrinahaven,Indonesia,1054,77335517,APAC SME/Enterprise; SaaS-only customer (observability and/or governance).,,27,SaaS Only,SaaS,APAC,SME,Enterprise,None,Standalone
Rasmussen LLC Data Cloud,Manufacturing,Customer,641.716.7251x4625,http://paul-mcdowell.com/,Dorothyburgh,Malaysia,1304,82320385,APAC SME/Enterprise; SaaS-only customer (observability and/or governance).,,28,SaaS Only,SaaS,APAC,SME,Team,None,Standalone
Marquez PLC Data Cloud,Technology,Customer,(750)813-1556,http://www.boone.biz/,Watsonmouth,Vietnam,698,46407205,APAC SME/Enterprise; SaaS-only customer (observability and/or governance).,,29,SaaS Only,SaaS,APAC,SME,Team,None,Standalone
Fischer-Walker Data Cloud,Finance,Customer,611-996-3701x59414,https://moody-hooper.info/,Phamchester,Malaysia,1885,108034250,APAC SME/Enterprise; SaaS-only customer (observability and/or governance).,,30,SaaS Only,SaaS,APAC,SME,Enterprise,None,Standalone
Esparza-Finley Data Cloud,Finance,Customer,001-901-342-2313,https://munoz-schroeder.com/,North Adrian,Malaysia,1821,50944282,APAC SME/Enterprise; SaaS-only customer (observability and/or governance).,,31,SaaS Only,SaaS,APAC,SME,Team,None,Standalone
Lin-Lyons Data Cloud,Healthcare,Customer,001-764-595-6261x15124,https://www.middleton.org/,Lake Bianca,Vietnam,1015,110847003,APAC SME/Enterprise; SaaS-only customer (observability and/or governance).,,32,SaaS Only,SaaS,APAC,SME,Team,None,Standalone
