billing_id,resource_id,project_id,billing_date,usage_quantity,usage_unit,unit_cost,discount_pct,daily_cost
1,1,,2024-04-05,2007.0071,vCPU-hours,0.049252,5.58,93.33
2,1,,2024-04-06,2007.3204,vCPU-hours,0.049252,5.58,93.35
3,1,,2024-04-07,2007.6336,vCPU-hours,0.049252,5.58,93.36
4,1,,2024-04-08,2007.9469,vCPU-hours,0.049252,5.58,93.38
5,1,,2024-04-09,2008.2602,vCPU-hours,0.049252,5.58,93.39
6,1,,2024-04-10,2008.5734,vCPU-hours,0.049252,5.58,93.41
7,1,,2024-04-11,2008.8867,vCPU-hours,0.049252,5.58,93.42
8,1,,2024-04-12,2009.2,vCPU-hours,0.049252,5.58,93.44
9,1,,2024-04-13,2009.5132,vCPU-hours,0.049252,5.58,93.45
10,1,,2024-04-14,2009.8265,vCPU-hours,0.049252,5.58,93.46
11,1,,2024-04-15,2010.1398,vCPU-hours,0.049252,5.58,93.48
12,1,2,2024-04-16,2427.6285,vCPU-hours,0.049252,5.58,112.89
13,1,2,2024-04-17,2428.0068,vCPU-hours,0.049252,5.58,112.91
14,1,2,2024-04-18,2428.3851,vCPU-hours,0.049252,5.58,112.93
15,1,2,2024-04-19,2428.7633,vCPU-hours,0.049252,5.58,112.95
16,1,2,2024-04-20,2429.1416,vCPU-hours,0.049252,5.58,112.96
17,1,2,2024-04-21,5485.9358,vCPU-hours,0.049252,5.58,255.12
18,1,2,2024-04-22,5486.79,vCPU-hours,0.049252,5.58,255.16
19,1,2,2024-04-23,2430.2764,vCPU-hours,0.049252,5.58,113.02
20,1,2,2024-04-24,2430.6547,vCPU-hours,0.049252,5.58,113.03
21,1,2,2024-04-25,2431.0329,vCPU-hours,0.049252,5.58,113.05
22,1,2,2024-04-26,2431.4112,vCPU-hours,0.049252,5.58,113.07
23,1,2,2024-04-27,2431.7895,vCPU-hours,0.049252,5.58,113.09
24,1,2,2024-04-28,2432.1677,vCPU-hours,0.049252,5.58,113.1
25,1,2,2024-04-29,2432.546,vCPU-hours,0.049252,5.58,113.12
26,1,2,2024-04-30,2432.9243,vCPU-hours,0.049252,5.58,113.14
27,1,2,2024-05-01,2433.3025,vCPU-hours,0.049252,5.58,113.16
28,1,2,2024-05-02,2433.6808,vCPU-hours,0.049252,5.58,113.18
29,1,2,2024-05-03,2434.0591,vCPU-hours,0.049252,5.58,113.19
30,1,2,2024-05-04,2434.4374,vCPU-hours,0.049252,5.58,113.21
31,1,2,2024-05-05,2434.8156,vCPU-hours,0.049252,5.58,113.23
32,1,2,2024-05-06,2435.1939,vCPU-hours,0.049252,5.58,113.25
33,1,2,2024-05-07,2435.5722,vCPU-hours,0.049252,5.58,113.26
34,1,2,2024-05-08,2435.9504,vCPU-hours,0.049252,5.58,113.28
35,1,2,2024-05-09,2436.3287,vCPU-hours,0.049252,5.58,113.3
36,1,2,2024-05-10,2436.707,vCPU-hours,0.049252,5.58,113.32
37,1,2,2024-05-11,2437.0852,vCPU-hours,0.049252,5.58,113.33
38,1,2,2024-05-12,2437.4635,vCPU-hours,0.049252,5.58,113.35
39,1,2,2024-05-13,2437.8418,vCPU-hours,0.049252,5.58,113.37
40,1,2,2024-05-14,2438.22,vCPU-hours,0.049252,5.58,113.39
41,1,2,2024-05-15,2438.5983,vCPU-hours,0.049252,5.58,113.4
42,1,2,2024-05-16,2438.9766,vCPU-hours,0.049252,5.58,113.42
43,1,2,2024-05-17,2439.3549,vCPU-hours,0.049252,5.58,113.44
44,1,2,2024-05-18,2439.7331,vCPU-hours,0.049252,5.58,113.46
