resource_id,resource_name,provider,service_type,region,environment,department_id,cost_center,monthly_base_cost
1,eng-prod-eks-cluster,GCP,Container,asia-east1,prod,DEPT-ENG,CC-ENG-002,2800.0
2,eng-prod-aks-cluster,Azure,Container,eastasia,prod,DEPT-ENG,CC-ENG-002,2400.0
3,eng-prod-rds-postgres,AWS,Database,ap-southeast-1,prod,DEPT-ENG,CC-ENG-002,1800.0
4,eng-prod-ec2-api-servers,AWS,Compute,ap-southeast-1,prod,DEPT-ENG,CC-ENG-002,1500.0
5,eng-prod-bigquery-dw,GCP,Database,asia-east1,prod,DEPT-ENG,CC-ENG-002,1200.0
6,eng-prod-s3-data-lake,AWS,Storage,ap-southeast-1,prod,DEPT-ENG,CC-ENG-002,900.0
7,eng-prod-cloudfront-cdn,AWS,Compute,ap-southeast-1,prod,DEPT-ENG,CC-ENG-002,850.0
8,eng-staging-eks-cluster,GCP,Container,asia-east1,staging,DEPT-ENG,CC-ENG-002,600.0
9,eng-staging-aks-cluster,Azure,Container,eastasia,staging,DEPT-ENG,CC-ENG-002,500.0
10,eng-staging-rds-postgres,AWS,Database,ap-southeast-1,staging,DEPT-ENG,CC-ENG-002,400.0
11,eng-dev-gke-sandbox,GCP,Container,asia-east1,dev,DEPT-ENG,CC-ENG-002,200.0
12,eng-dev-ec2-dev-boxes,AWS,Compute,ap-southeast-2,dev,DEPT-ENG,CC-ENG-002,150.0
13,eng-dev-blob-storage,Azure,Storage,eastasia,dev,DEPT-ENG,CC-ENG-002,100.0
14,eng-prod-cloud-run-jobs,GCP,Serverless,asia-east1,prod,DEPT-ENG,CC-ENG-002,1100.0
15,ps-analytics-rds,AWS,Database,ap-southeast-1,prod,DEPT-PS,CC-PS-001,700.0
16,ps-client-blob-storage,Azure,Storage,eastasia,prod,DEPT-PS,CC-PS-001,300.0
17,ps-cloud-run-reporting,GCP,Serverless,asia-east1,prod,DEPT-PS,CC-PS-001,450.0
18,ps-staging-analytics-rds,AWS,Database,ap-southeast-2,staging,DEPT-PS,CC-PS-001,250.0
19,ps-dev-sandbox-vm,Azure,Compute,eastasia,dev,DEPT-PS,CC-PS-001,120.0
20,fin-bi-reporting-vm,Azure,Compute,eastasia,prod,DEPT-FIN,CC-FIN-005,350.0
21,fin-s3-reports-archive,AWS,Storage,ap-southeast-1,prod,DEPT-FIN,CC-FIN-005,180.0
22,fin-bigquery-analytics,GCP,Database,asia-east1,prod,DEPT-FIN,CC-FIN-005,420.0
23,sales-crm-lambda,AWS,Serverless,ap-southeast-1,prod,DEPT-SALES,CC-SALES-003,220.0
24,sales-demo-vm,Azure,Compute,eastasia,dev,DEPT-SALES,CC-SALES-003,90.0
25,hr-hris-storage,AWS,Storage,ap-southeast-1,prod,DEPT-HR,CC-HR-004,160.0
