Name,StageName,Amount,CloseDate,LeadSource,Description,AccountId,id,Offering_Type__c,Sales_Motion__c,Cross_Sell_From__c,Contract_Model__c,Expected_ARR__c,Implementation_Months__c,Data_Volume_Tier__c,Usage_Pricing_Model__c
Empower E-Business Initiatives - SaaS Evaluation,Prospecting,62493,2026-07-17,Partner Referral,New SaaS pipeline from APAC digital teams.,1,1,SaaS New Logo,Partner-led,None,Subscription,59866.37,1,Low,Pipeline Count
Synthesize Granular Mindshare - SaaS Evaluation,Prospecting,58846,2026-06-17,Web,New SaaS pipeline from APAC digital teams.,1,2,SaaS New Logo,Partner-led,None,Subscription,49032.54,4,Low,Pipeline Count
Embrace Value-Added Experiences - SaaS Evaluation,Prospecting,64835,2026-07-20,Partner Referral,New SaaS pipeline from APAC digital teams.,24,3,SaaS New Logo,Partner-led,None,Subscription,73758.52,1,Low,Hybrid Usage
Empower Proactive E-Commerce - SaaS Evaluation,Prospecting,39300,2026-06-10,Web,New SaaS pipeline from APAC digital teams.,34,4,SaaS New Logo,Partner-led,None,Subscription,32676.16,4,Low,Pipeline Count
Drive Strategic Initiatives - SaaS Evaluation,Prospecting,20614,2026-08-06,Partner Referral,New SaaS pipeline from APAC digital teams.,2,5,SaaS New Logo,Outbound,None,Subscription,19993.25,1,Low,Pipeline Count
E-Enable Open-Source Experiences - SaaS Evaluation,Prospecting,39356,2026-08-01,Other,New SaaS pipeline from APAC digital teams.,31,6,SaaS New Logo,Partner-led,None,Subscription,39925.17,3,Low,Hybrid Usage
Evolve Impactful Schemas - SaaS Evaluation,Prospecting,31571,2026-08-02,Web,New SaaS pipeline from APAC digital teams.,31,7,SaaS New Logo,Outbound,None,Subscription,30613.40,1,Low,Data Volume
Engage Cross-Media Convergence - SaaS Evaluation,Prospecting,13025,2026-03-25,Other,New SaaS pipeline from APAC digital teams.,7,8,SaaS New Logo,Partner-led,None,Subscription,11172.96,4,Low,Metadata Scale
Incubate Cross-Platform Convergence - SaaS Evaluation,Prospecting,29152,2026-08-21,Partner Referral,New SaaS pipeline from APAC digital teams.,36,9,SaaS New Logo,Outbound,None,Subscription,32212.59,3,Low,Pipeline Count
Leverage Best-Of-Breed Platforms - SaaS Evaluation,Prospecting,90679,2026-06-27,Other,New SaaS pipeline from APAC digital teams.,5,10,SaaS New Logo,Inbound,None,Subscription,75373.58,3,Medium,Metadata Scale
Leverage Customized Communities - SaaS Evaluation,Prospecting,134847,2026-03-24,Other,New SaaS pipeline from APAC digital teams.,7,11,SaaS New Logo,Outbound,None,Subscription,154363.81,3,Medium,Metadata Scale
